title,url,date,author,category,excerpt,content_length,tags,notes
Eyewitness Accounts of WWI,https://www.worldhistory.org/article/2832/eyewitness-accounts-of-wwi/,06-Nov-25,Mark Cartwright,History,"The First World War (1914-18) was the first truly global conflict and the first to be fully mechanised. Armies clashed across continents on land, in the air...",22008,,
The 1918 Armistice with Germany,https://www.worldhistory.org/article/2833/the-1918-armistice-with-germany/,11-Nov-25,Mark Cartwright,History,The armistice that ended the First World War (1914-18) on the Western Front was signed between Germany and the Allies on 11 November 1918. The guns fell silent...,18461,,
World History Encyclopedia,https://www.worldhistory.org/,,,History,"The free online history encyclopedia with fact-checked articles, images, videos, maps, timelines and more; operated as a non-profit organization.",6896,,
"The Death of David ""Davy"" Crockett at the Alamo",https://www.worldhistory.org/article/2835/the-death-of-david-davy-crockett-at-the-alamo,13-Nov-25,,History,"The death of David ""Davy"" Crockett at the Battle of the Alamo (6 March 1836) has been understood as a heroic last stand at least since 1880 when Texan historian...",22096,,
Interview: Catherine of Braganza,https://www.worldhistory.org/article/2834/interview-catherine-of-braganza,12-Nov-25,,History,"Though Catherine of Braganza (1638-1705) wed Charles II of England (reign 1660-1685) in a union of great political consequence, her life and impact in Restoration...",18092,,
Peasant Life in a Medieval Manor,https://www.worldhistory.org/article/2826/peasant-life-in-a-medieval-manor,07-Nov-25,,History,Bodo was a early 9th-century Frankish farmer. He and his family hailed from a manor owned by the monastery of St.-Germain-des-Prés near Paris and worked as its...,17929,,
HMS Victory,https://www.worldhistory.org/article/2831/hms-victory,05-Nov-25,,History,"Smasher of Napoleon's invasion dream, veteran of three major wars, and scene of the death of the Royal Navy's greatest hero, HMS Victory is one of Britain's most...",13183,,
Battle of Ashdown,https://www.worldhistory.org/article/2829/battle-of-ashdown,04-Nov-25,,History,"The Battle of Ashdown, fought on 8th January 871 in southern England, saw the Kingdom of Wessex defeat the Great Heathen (Viking) Army. This was the first major...",25381,,
Letters of William B. Travis from the Alamo,https://www.worldhistory.org/article/2828/letters-of-william-b-travis-from-the-alamo,31-Oct-25,,History,The letters of William Barret Travis from the Alamo between 23 February and 3 March 1836 provide a first-hand account of the famous siege of the Alamo. Travis...,25575,,
A Brief History of Egyptian Art,https://www.worldhistory.org/article/1077/a-brief-history-of-egyptian-art,30-May-17,,History,"Art is an essential aspect of any civilization. Once the basic human needs have been taken care of such as food, shelter, some form of community law, and a religious...",24879,,
A Brief History of the Dog Collar,https://www.worldhistory.org/article/1605/a-brief-history-of-the-dog-collar,27-Jun-22,,History,"The dog collar, so often taken for granted, has a long and illustrious history. Anyone fortunate enough to share their life with a dog in the present day is participating...",23573,,
A Brief History of the Rose,https://www.worldhistory.org/article/2264/a-brief-history-of-the-rose,16-Aug-23,,History,The rose that grows in many different forms in gardens all over the world today is an evolution of rose-like plants that lived in the northern hemisphere between...,21642,,
A Brief History of Tobacco in the Americas,https://www.worldhistory.org/article/1677/a-brief-history-of-tobacco-in-the-americas,10-Feb-21,,History,"The history of tobacco use in the Americas goes back over 1,000 years when natives of the region chewed or smoked the leaves of the plant now known as Nicotiana...",25960,,
A Brief History of Veterinary Medicine,https://www.worldhistory.org/article/1549/a-brief-history-of-veterinary-medicine,30-Apr-20,,History,"The English word 'veterinarian' as defining one who provides medical care to animals, comes from the Latin verb veheri meaning “to draw” (as in ""pull"") and was...",27269,,
A Confederate Soldier's Tale,https://www.worldhistory.org/article/2783/a-confederate-soldiers-tale,01-Sep-25,,History,Sam Watkins was only 21 when his home state of Tennessee seceded from the Union in the spring of 1861. Swept away by the patriotic fervor and thirst for adventure...,24335,,
A Ghost Story of Ancient Egypt,https://www.worldhistory.org/article/964/a-ghost-story-of-ancient-egypt,28-Oct-16,,History,"The best-known ghost story from ancient Egypt is known, simply, as A Ghost Story but sometimes referenced as Khonsemhab and the Ghost. The story dates from the...",23681,,
A Gift from King Shulgi: A Pair of Gold Earrings,https://www.worldhistory.org/article/1137/a-gift-from-king-shulgi-a-pair-of-gold-earrings,20-Oct-17,,History,"Gold is a treasure, and he who possesses it does all he wishes to in this world, and succeeds in helping souls into paradise.    Christopher Columbus.    On June...",13546,,
A History of Svalbard,https://www.worldhistory.org/article/1922/a-history-of-svalbard,14-Jan-22,,History,Svalbard is an archipelago in the Arctic Ocean on the northwest corner of the Barents Shelf. It is 800 kilometres (497 mi) north of mainland Norway and sits roughly...,26510,,
A Linguistical Analysis of Ancient Celtic Languages,https://www.worldhistory.org/article/2019/a-linguistical-analysis-of-ancient-celtic-language,22-Jun-22,,History,The Celtic languages form a branch of the Indo-European (IE) language family. They derive from Proto-Celtic and are divided into Continental Celtic languages...,29379,,
A Medieval Christmas,https://www.worldhistory.org/article/1288/a-medieval-christmas,01-Dec-18,,History,"Christmas was one of the highlights of the medieval calendar, not only for the rich but also for the peasantry. For the longest holiday of the year, typically...",22433,,
A Model of Christian Charity and the City on a Hill,https://www.worldhistory.org/article/1660/a-model-of-christian-charity-and-the-city-on-a-hil,21-Jan-21,,History,"A Model of Christian Charity is a sermon delivered by the Puritan John Winthrop (l. c. 1588-1649 CE), second governor of the Massachusetts Bay Colony, either...",22249,,
A Praise Poem of Lipit-Estar,https://www.worldhistory.org/article/2210/a-praise-poem-of-lipit-estar,31-Mar-23,,History,"A Praise Poem of Lipit-Estar is a Sumerian praise song honoring Lipit-Estar (also known as Lipit-Ishtar, r. c. 1870 to c. 1860 BCE), the fifth king of the First...",22577,,
A Praise Poem of Shulgi,https://www.worldhistory.org/article/2110/a-praise-poem-of-shulgi,19-Nov-22,,History,A Praise Poem of Shulgi (c. 2020-2000 BCE) is an ancient Sumerian document celebrating the famous run of 200 miles (321.8 km) in one day made by the king Shulgi...,21813,,
A Roman Boy's Rite of Passage,https://www.worldhistory.org/article/2564/a-roman-boys-rite-of-passage,19-Nov-24,,History,"A Roman boy's rite of passage, a ceremony or ritual marking a transitional period in life from childhood to adulthood, was the assuming of the toga virilis, the...",21028,,
A Roman Trail in the Moselle Valley,https://www.worldhistory.org/article/1657/a-roman-trail-in-the-moselle-valley,26-Jan-21,,History,The Moselle Valley is Germany's oldest winegrowing region. The Romans brought viticulture to this area and planted vines along the Moselle River 2000 years ago...,25219,,
A Seminole Creation Story & Other Tales,https://www.worldhistory.org/article/2635/a-seminole-creation-story--other-tales,16-Feb-25,,History,"The Seminole are a Native American nation of people descended from the Muscogee Creek nation, and others, who migrated to the modern-day State of Florida in the...",23929,,
A Short History of the Buddhist Schools,https://www.worldhistory.org/article/492/a-short-history-of-the-buddhist-schools,29-Sep-20,,History,"The different Buddhist schools of thought, still operating in the present day, developed after the death of the Buddha (l. c. 563 - c. 483 BCE) in an effort to...",27771,,
A Soldier Recalls the Trail of Tears: John G. Burnett Account,https://www.worldhistory.org/article/2652/a-soldier-recalls-the-trail-of-tears-john-g-burnet,28-Feb-25,,History,"The Trail of Tears was a series of forced relocations of the ""Five Civilized Tribes"" – the Choctaw, Seminole, Muscogee Creek, Chickasaw, and Cherokee – between...",25661,,
A Source Critical Analysis of the New Testament Parable of the Mustard Seed.,https://www.worldhistory.org/article/458/a-source-critical-analysis-of-the-new-testament-pa,10-Oct-12,,History,"This article is a source-critical Analysis of Mark 4:30-32, Luke 13:18-19, Matt. 13:31b-32 and G.Thom. 20:1-2, otherwise know as the parable of the Mustard Seed...",15493,,
A Storm Eagle,https://www.worldhistory.org/article/2361/a-storm-eagle,26-Jan-24,,History,A Storm Eagle is a Cheyenne story recounting a battle fought between the Cheyenne and Pawnee in the winter of 1854-1855 when the Cheyenne retrieved the horses...,20956,,
A Story of Faith,https://www.worldhistory.org/article/2456/a-story-of-faith,20-May-24,,History,A Story of Faith is a legend of the Pawnee nation similar in theme to The Boy Who Was Sacrificed and featuring the same sacred animals – the Nahu'rac – who serve...,22567,,
A Supervisor's Advice to a Young Scribe,https://www.worldhistory.org/article/2106/a-supervisors-advice-to-a-young-scribe,16-Nov-22,,History,A Supervisor's Advice to a Young Scribe is a Sumerian composition relating a dialogue between an elder scribe and a young graduate from his school. The piece...,23676,,
A Teton Ghost Story,https://www.worldhistory.org/article/2288/a-teton-ghost-story,27-Sep-23,,History,"A Teton Ghost Story is a tale from the Native American Teton (Tetonwan) of the Oceti Sakowin (People of the Seven Council Fires), better known as the Sioux, on...",22768,,
A Tour in Ancient Athens,https://www.worldhistory.org/article/1094/a-tour-in-ancient-athens,11-Aug-17,,History,Athens is mostly associated with its ancient past rather than its modern turbulent state of the latest two hundred years. While walking the centre of the luminous...,21696,,
A Traditional Japanese House,https://www.worldhistory.org/article/1426/a-traditional-japanese-house,17-Jul-19,,History,The traditional house of ancient and medieval Japan (1185-1606 CE) is one of the most distinctive contributions that country has made to world architecture. While...,16341,,
A Visitor's Guide to Herculaneum,https://www.worldhistory.org/article/1494/a-visitors-guide-to-herculaneum,14-Feb-20,,History,"In the first part of our new travel series devoted to the archaeological sites around the Bay of Naples, we shared some hints and tips as to how you can best...",27131,,
"A Visitor's Guide to Oplontis, Stabiae & Boscoreale",https://www.worldhistory.org/article/1552/a-visitors-guide-to-oplontis-stabiae--boscoreale,19-May-20,,History,"More than 2,000 years ago, extremely wealthy Romans lived on the sunny shores of the Bay of Naples at Pompeii and in opulent villas nearby, unconcerned about...",26400,,
A Visitor's Guide to Pompeii,https://www.worldhistory.org/article/1447/a-visitors-guide-to-pompeii,03-Oct-19,,History,Visitors to Naples and its surrounding area could be overwhelmed by the number of archaeological wonders to see. Buried for centuries beneath tons of volcanic...,27441,,
A Visitor's Guide to Rome's Frontier in Germany,https://www.worldhistory.org/article/1810/a-visitors-guide-to-romes-frontier-in-germany,09-Sep-21,,History,"In the 2nd century CE, the Roman Empire stretched from Scotland in northern Europe to the deserts of southern Egypt, encompassing the entirety of the Mediterranean...",24577,,
A Visual Glossary of Classical Architecture,https://www.worldhistory.org/article/486/a-visual-glossary-of-classical-architecture,10-Mar-13,,History,Abacus - a large slab placed above the column capital to support the architrave or an arch placed above it.  Akroterion - a decorative piece added to the roof...,15180,,
A Visual Glossary of Greek Pottery,https://www.worldhistory.org/article/489/a-visual-glossary-of-greek-pottery,24-May-13,,History,"Alabastron (pl. alabastra) - a small jar for storing perfumes, named after the material (alabaster) the first examples were made from. They were often carried...",18271,,
A Visual Glossary of Hindu Architecture,https://www.worldhistory.org/article/994/a-visual-glossary-of-hindu-architecture,19-Dec-16,,History,Adisthana - the decorative raised platform on which a temple is built.  Alasa kanya - a decorative female figure.   Amalaka - a large fluted stone disc placed...,10858,,
A Visual Who's Who of Greek Mythology,https://www.worldhistory.org/article/1002/a-visual-whos-who-of-greek-mythology,16-Jan-17,,History,"Achilles    The hero of the Trojan War, leader of the Myrmidons, slayer of Hector and Greece's greatest warrior, who sadly came unstuck when Paris sent a flying...",49557,,
"A Weekend in Alexandria, Egypt",https://www.worldhistory.org/article/1768/a-weekend-in-alexandria-egypt,08-Jun-21,,History,"Visiting Alexandria, Egypt, once the greatest cultural center of the ancient world, rivaling Athens, Greece, is an unforgettable experience. The food, the wonderful...",20448,,
"A Weekend on the Isle of Skye, Scotland",https://www.worldhistory.org/article/1782/a-weekend-on-the-isle-of-skye-scotland,16-Jun-21,,History,"The Isle of Skye, Scotland, is a land of myth, legend, and swirling mists that easily transport a visitor through time. The history of the island goes back to...",23473,,
Achaemenid Kings List & Commentary,https://www.worldhistory.org/article/1518/achaemenid-kings-list--commentary,05-Mar-20,,History,"The Achaemenid Empire (c. 550-330 BCE) was the first great Persian political entity in Western and Central Asia which stretched, at its peak, from Asia Minor...",23433,,
Achievements of the Han Dynasty,https://www.worldhistory.org/article/1119/achievements-of-the-han-dynasty,14-Sep-17,,History,"The achievements of the Han dynasty (206 BCE - 220 CE), often regarded by scholars and the ancient Chinese themselves as the golden era of Chinese culture, would...",19130,,
Aesop's Fables,https://www.worldhistory.org/article/664/aesops-fables,08-Mar-14,,History,"Written by a former Greek slave, in the late to mid-6th century BCE, Aesop's Fables are the world's best known collection of morality tales. The fables, numbering...",13477,,
Affair of the Diamond Necklace,https://www.worldhistory.org/article/1970/affair-of-the-diamond-necklace,18-Mar-22,,History,The affair of the diamond necklace (1784-86) was a scandal that centered around Queen Marie Antoinette of France (l. 1755-1793). Although the queen was innocent...,25031,,
African Americans in the American Revolution,https://www.worldhistory.org/article/2449/african-americans-in-the-american-revolution,09-May-24,,History,"On the eve of the American Revolution (1765-1789), the Thirteen Colonies had a population of roughly 2.1 million people. Around 500,000 of these were African...",23485,,
African Slave Life in Colonial British America,https://www.worldhistory.org/article/1732/african-slave-life-in-colonial-british-america,26-Apr-21,,History,African slave life in Colonial British America was far worse than slavery practiced in the Americas prior to the arrival of Europeans. The indigenous tribes took...,22521,,
"Agoge, the Spartan Education Program",https://www.worldhistory.org/article/342/agoge-the-spartan-education-program,15-Jun-21,,History,"The agoge was the ancient Spartan education program, which trained male youths in the art of war. The word means ""raising"" in the sense of raising livestock from...",23897,,
Agriculture in the British Industrial Revolution,https://www.worldhistory.org/article/2191/agriculture-in-the-british-industrial-revolution,09-Mar-23,,History,"Agriculture, like most other areas of working life, was greatly affected by the machines invented during the Industrial Revolution. Agriculture in Britain and...",18443,,
Agriculture in the Fertile Crescent & Mesopotamia,https://www.worldhistory.org/article/9/agriculture-in-the-fertile-crescent--mesopotamia,22-Mar-23,,History,"The ancient Near East, and the historical region of the Fertile Crescent in particular, is generally seen as the birthplace of agriculture. The first agricultural...",21745,,
"Ai Khanum, the Capital of Eucratides",https://www.worldhistory.org/article/165/ai-khanum-the-capital-of-eucratides,12-Oct-10,,History,"Ai Khanum (also spelled Ai-Khanoum or Ay-Khanum, lit. “Lady Moon” in Uzbek), was founded in the 4th century BC, following the conquests of Alexander the Great...",14829,,
Akrotiri Frescoes,https://www.worldhistory.org/article/673/akrotiri-frescoes,27-Mar-14,,History,The Bronze Age frescoes from Akrotiri on the Aegean island of Thera (modern-day Santorini) provide some of the most famous images from the ancient Greek world...,15684,,
Alexander the Great & the Burning of Persepolis,https://www.worldhistory.org/article/214/alexander-the-great--the-burning-of-persepolis,22-Nov-19,,History,In the year 330 BCE Alexander the Great (l. 356-323 BCE) conquered the Achaemenid Persian Empire following his victory over the Persian Emperor Darius III (r...,22439,,
Alexander the Great as a God,https://www.worldhistory.org/article/925/alexander-the-great-as-a-god,28-Jul-16,,History,"The age-old concept of the “divine right of kings” allowed that a country's ruler received his or her power or authority from God. However, few, if any, were...",25557,,
Alexander the Great: A Case Study in Martial Leadership,https://www.worldhistory.org/article/854/alexander-the-great-a-case-study-in-martial-leader,08-Jan-16,,History,"History is not predictable; in many ways it can take on a life of its own. But sometimes, an individual's sheer presence is enough to bend history to his will...",22981,,
"Alexander's Siege of Tyre, 332 BCE",https://www.worldhistory.org/article/107/alexanders-siege-of-tyre-332-bce,08-Aug-11,,History,"After defeating Darius III at the battle of Issus in November 333 BCE, Alexander marched his army (about 35,000-40,000 strong) into Phoenicia, where he received...",16832,,
Alexandros I Balas,https://www.worldhistory.org/article/159/alexandros-i-balas,18-Jan-12,,History,Alexandros I Balas was a Seleucid king from 152 BC to 145 BCE. As the Seleucid king Demetrius I Soter (162-150 BCE) became more and more unpopular due to his...,9481,,
Allied Bombing of Germany,https://www.worldhistory.org/article/2430/allied-bombing-of-germany,18-Apr-24,,History,"The Allied strategic bombing of Germany during World War II (1939-45) involved British and U.S. bomber planes attacking industrial cities, factories, railways...",26400,,
American Invasion of Quebec,https://www.worldhistory.org/article/2354/american-invasion-of-quebec,19-Jan-24,,History,The American invasion of Quebec (September 1775-June 1776) was a military campaign undertaken during the American Revolutionary War (1775-1783). Hoping to induce...,25454,,
An A to Z of Pirate & Seafaring Expressions,https://www.worldhistory.org/article/1823/an-a-to-z-of-pirate--seafaring-expressions,27-Aug-21,,History,"Pirates, especially those of the so-called Golden Age of Piracy (c. 1690-1730), are particularly famous for their pithy expressions which relate to all things...",26192,,
An Ancient City Beneath Rome: Visiting The Catacombs of Priscilla,https://www.worldhistory.org/article/1358/an-ancient-city-beneath-rome-visiting-the-catacomb,08-Apr-19,,History,"Any visitor to Rome will want to see and explore the popular historical and cultural sites - the Colosseum, the Forum, the Trevi Fountain and, of course, the...",19133,,
An Ancient Ghost Story: Philinnion & Machates,https://www.worldhistory.org/article/763/an-ancient-ghost-story-philinnion--machates,24-Jan-19,,History,"Ghost stories have existed for thousands of years, often in similar forms and frequently dealing with the same themes, in many of the most ancient cultures. The...",21786,,
An Illustrated Glossary of Castle Architecture,https://www.worldhistory.org/article/1233/an-illustrated-glossary-of-castle-architecture,15-Jun-18,,History,Alure (Wall Walk)    The walkway along the higher and interior part of a wall which often gives access to the higher floors of towers within the wall. Typically...,18836,,
Anahuac Disturbances,https://www.worldhistory.org/article/2795/anahuac-disturbances,10-Sep-25,,History,"Although the Battle of Gonzales (2 October 1835) is recognized as the first of the Texas Revolution of 1835-1836, hostilities actually began in 1832 with the...",19373,,
Ancestor Worship in Ancient China,https://www.worldhistory.org/article/1132/ancestor-worship-in-ancient-china,17-Oct-17,,History,"Ancestor worship in ancient China dates back to the Neolithic period, and it would prove to be the most popular and enduring Chinese religious practice, lasting...",16996,,
Ancient Celtic Society,https://www.worldhistory.org/article/1720/ancient-celtic-society,26-Mar-21,,History,"The society of the Celts in Iron Age Europe was made up of several distinct hierarchical groups. At the top were rulers and elite warriors, then there were the...",24750,,
Ancient Celtic Torcs,https://www.worldhistory.org/article/1687/ancient-celtic-torcs,18-Feb-21,,History,"In ancient Celtic cultures, torcs were a common form of jewellery and were made from bronze, copper, silver, and gold. Torcs were not just exquisite works of...",18701,,
Ancient Christianity’s Effect on Society & Gender Roles,https://www.worldhistory.org/article/1670/ancient-christianitys-effect-on-society--gender-ro,04-Feb-21,,History,"Christianity began as a sect of Judaism in Judea in the 1st century CE and spread to the cities of the Eastern Roman Empire and beyond. In these cities, non-Jews...",25050,,
Ancient Cyprus: A Travel Guide,https://www.worldhistory.org/article/1351/ancient-cyprus-a-travel-guide,21-Mar-19,,History,"Lying at the crossroads of the eastern Mediterranean, the island of Cyprus has long been a meeting point for many of the world's great civilizations. Situated...",34043,,
Ancient Egyptian Agriculture,https://www.worldhistory.org/article/997/ancient-egyptian-agriculture,10-Jan-17,,History,Agriculture was the foundation of the ancient Egyptian economy and vital to the lives of the people of the land. Agricultural practices began in the Delta Region...,20827,,
Ancient Egyptian Medical Texts,https://www.worldhistory.org/article/1015/ancient-egyptian-medical-texts,21-Feb-17,,History,Medicine in ancient Egypt was understood as a combination of practical technique and magical incantation and ritual. Although physical injury was usually addressed...,20220,,
Ancient Egyptian Medicine: Study & Practice,https://www.worldhistory.org/article/50/ancient-egyptian-medicine-study--practice,16-Feb-17,,History,"In Europe, in the 19th century CE, an interesting device began appearing in graveyards and cemeteries: the mortsafe. This was an iron cage erected over a grave...",19897,,
Ancient Egyptian Mortuary Rituals,https://www.worldhistory.org/article/1022/ancient-egyptian-mortuary-rituals,01-Mar-17,,History,"Ever since European archaeologists began excavating in Egypt in the 18th and 19th centuries CE, the ancient culture has been largely associated with death. Even...",22055,,
Ancient Egyptian Science & Technology,https://www.worldhistory.org/article/967/ancient-egyptian-science--technology,09-Nov-16,,History,The great temples and monuments of ancient Egypt continue to fascinate and amaze people in the modern day. The sheer size and scope of structures like the Great...,31280,,
Ancient Egyptian Symbols,https://www.worldhistory.org/article/1011/ancient-egyptian-symbols,10-Feb-17,,History,"Religion in ancient Egypt was fully integrated into the people's daily lives. The gods were present at one's birth, throughout one's life, in the transition from...",26437,,
Ancient Egyptian Taxes & the Cattle Count,https://www.worldhistory.org/article/1012/ancient-egyptian-taxes--the-cattle-count,07-Feb-17,,History,"The gods of ancient Egypt freely gave their bounty to the people who worked the land, but this did not exempt those farmers from paying taxes on that bounty to...",19876,,
Ancient Geography of India,https://www.worldhistory.org/article/198/ancient-geography-of-india,11-Jan-11,,History,The first text in Greek devoted entirely to India was written by Ctesias in the fourth century BCE. Only fragments of it survive. Yet he was probably the most...,9460,,
Ancient Greek Clothing,https://www.worldhistory.org/article/20/ancient-greek-clothing,13-Jul-21,,History,"Ancient Greek clothing developed from the Minoan Civilization of Crete (2000-1450 BCE) through the Mycenean Civilization (1700-1100 BCE), Archaic Period (8th...",24325,,
Ancient Greek Inventions,https://www.worldhistory.org/article/1165/ancient-greek-inventions,20-Dec-17,,History,"The ancient Greeks are often credited with building the foundations upon which all western cultures are built, and this impressive accolade stems from their innovative...",21203,,
Ancient Greek Society,https://www.worldhistory.org/article/483/ancient-greek-society,15-May-18,,History,"Although ancient Greek Society was dominated by the male citizen, with his full legal status, right to vote, hold public office, and own property, the social...",19657,,
Ancient Handicrafts in Rural Lebanon,https://www.worldhistory.org/article/1545/ancient-handicrafts-in-rural-lebanon,23-Apr-20,,History,Traditional Lebanese handicrafts are considered to be a major sector of the living cultural heritage in the rural areas of Lebanon. Transmitted from one generation...,14865,,
Ancient History Encyclopedia in Armenia,https://www.worldhistory.org/article/1150/ancient-history-encyclopedia-in-armenia,08-Nov-17,,History,"Last fall, Ancient History Encyclopedia (AHE) received a grant from the National Association for Armenian Studies and Research (NAASR) and the Knights of Vartan...",13828,,
Ancient History Encyclopedia in Japan,https://www.worldhistory.org/article/1172/ancient-history-encyclopedia-in-japan,12-Jan-18,,History,The “Ancient Japan” initiative at Ancient History Encyclopedia arose as there is a dearth of open access and digitally curated information concerning early Japanese...,16302,,
Ancient Iranian Salt Mine Mummies,https://www.worldhistory.org/article/747/ancient-iranian-salt-mine-mummies,06-Aug-14,,History,"As a young girl interested in archaeology and history, mummies always intrigued me. From the intricate Egyptian mummies to the naturally and beautifully preserved...",17027,,
Ancient Israelite & Judean Religion,https://www.worldhistory.org/article/1097/ancient-israelite--judean-religion,13-Jul-17,,History,"As early as the 10th century BCE, Israelite and Judean religion began to emerge within the broader West Semitic culture, otherwise known as Canaanite culture...",25881,,
Ancient Japanese & Chinese Relations,https://www.worldhistory.org/article/1085/ancient-japanese--chinese-relations,27-Jun-17,,History,"Relations between ancient Japan and China have a long history, and in certain periods the exchange of political, religious and cultural practices between the...",17947,,
Ancient Korean & Chinese Relations,https://www.worldhistory.org/article/984/ancient-korean--chinese-relations,30-Nov-16,,History,Contact between Korea and China goes back to mythology and prehistory. Trade developed from the Bronze and Iron Ages with raw materials and manufactured goods...,22513,,
Ancient Korean & Japanese Relations,https://www.worldhistory.org/article/982/ancient-korean--japanese-relations,25-Nov-16,,History,"Ancient East Asia was dominated by the three states known today as China, Japan, and Korea. These kingdoms traded raw materials and high-quality manufactured...",16807,,
Ancient Mesopotamian Beliefs in the Afterlife,https://www.worldhistory.org/article/701/ancient-mesopotamian-beliefs-in-the-afterlife,20-Jun-14,,History,"Unlike the rich corpus of ancient Egyptian funerary texts, no such “guidebooks” from Mesopotamia detail the afterlife and the soul's fate after death. Instead...",24871,,
Ancient Mesopotamian Ghost Spell,https://www.worldhistory.org/article/2180/ancient-mesopotamian-ghost-spell,02-Mar-23,,History,"Medicine in ancient Mesopotamia was based on the belief that illness was caused by supernatural agencies and, although medicines were given and injuries treated...",23845,,
"Ancient Persian Gods, Heroes, and Creatures - The Complete List",https://www.worldhistory.org/article/1488/ancient-persian-gods-heroes-and-creatures---the-co,16-Jan-20,,History,"The term 'mythology' comes from the Greek mythos (story-of-the-people) and logos (word or speech), meaning the spoken story of a people. Every civilization of...",53812,,
Ancient Roman Family Life,https://www.worldhistory.org/article/870/ancient-roman-family-life,26-Feb-16,,History,"Whether there was a king, a consul, or an emperor that stood supreme over Rome and its territories, the one constant throughout Roman history was the family...",17455,,
Ancient Roman Society,https://www.worldhistory.org/article/1463/ancient-roman-society,23-Oct-19,,History,Rome began as a small city on the banks of the Tiber River in Italy. The Latin tribes (also known as the Latini or Latians) inhabited the region c. 1000 BCE but...,26553,,
Angels in Ancient Judaism,https://www.worldhistory.org/article/2538/angels-in-ancient-judaism,18-Sep-24,,History,The concept and function of angels in ancient Judaism were some of the many elements incorporated from contemporary cultures and religious views. The Hebrew malakh...,24119,,
Angels in Christianity,https://www.worldhistory.org/article/2541/angels-in-christianity,30-Sep-24,,History,"Angels in Christianity act as messengers of God, bring good news, and help believers. Their role developed from the function of angels in ancient Judaism but...",24015,,
Another Ariamanus Statue Found: The Evil Spirit of Mithraic Religion,https://www.worldhistory.org/article/685/another-ariamanus-statue-found-the-evil-spirit-of,14-May-14,,History,"It is rare when a new find creates renewed interest in an old subject. Here, the new find is a leontocephaline (lion-headed) figure of unknown provenance, weighing...",18828,,
